primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
all?,Checks if a reporter is true for all the agents in an agentset.,"check, agents, agentset, exist",False,False,False,False,True,"nobody, count, if, any","Autumn, Shepherds, Scatter, Party",,,,,,,,,,,,,,,,
and,Checks if both provided conditions are true.,"both, boolean, true, false, combine",False,False,False,False,True,"if, or, ifelse, with","Autumn, Fur, Flocking, Small Worlds",,,,,,,,,,,,,,,,
any?,Checks if there is at least one agent in an agentset.,"within, count, agentset, remaining",False,False,False,False,True,"all, if, other, nobody","Anisogamy, Fur, Mammoths, Fireworks",,,,,,,,,,,,,,,,
ask,Asks agents to do things.,"do, commands, rules, behavior",True,False,False,False,False,"turtles, patches, links, with","Ants, Mimicry, Moths, Tumor",,,,,,,,,,,,,,,,
breed,Defines a custom breed of turtles.,"kind, type, subset, custom",True,False,False,False,False,"create-turtles, turtles-own, die, ask","Bacterial Infection, Disease Solo, Rabbit Grass Weeds, Wolf Sheep Predation",,,,,,,,,,,,,,,,
ceiling,Rounds a number up to the nearest integer.,"round, up, integer, decimal, floating, math, calculate",False,False,False,False,True,"floor, round, mean, count","GasLab Circular Particles, Traffic 2 Lanes, Chaos in a Box, Decay",,,,,,,,,,,,,,,,
ca,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-patches, clear-turtles, die, reset-ticks","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-all,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-patches, clear-turtles, die, reset-ticks","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-patches,Clears the patches by resetting all patch variables to their default initial values and making them black.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-all, clear-turtles, die, reset-ticks","Disease Solo, Turbulence, Simple Kinetics 3, Simple Birth Rates",,,,,,,,,,,,,,,,
clear-turtles,Removes all the turtles as well as resets the numbering of turtles.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-all, clear-patches, die, reset-ticks","Grand Canyon, Disease Solo, CA 1D Elementary, Simple Birth Rates",,,,,,,,,,,,,,,,
color,Built-in turtle characteristic that reports the color of a turtle and allows us to change it.,"color, pencil, change, turtle, link, look, style, design, visual, hue, rgb, hex",False,True,False,True,False,"pcolor, scale-color, turtles-own, of","Sunflower, Mammoths, Bacterial Infection, Tumor",,,,,,,,,,,,,,,,
count,Counts the number of agents in an agentset.,"number, agents, many, turtles, links, patches, amount, total, sum",False,False,False,False,True,"mean, mod, if, ifelse","Mimicry, Peppered Moths, Virus, Plant Growth",,,,,,,,,,,,,,,,
create-links-with,Creates links with every agent in an agentset.,"social, connect, network, web, complex, relation",False,True,False,False,False,"link-neighbors, layout-circle, links, n-of","Team Assembly, CRISPR Bacterium, Membrane Formation, Virus on a Network",,,,,,,,,,,,,,,,
crt,Creates turtles with random colors and headings at the center of the world.,"create, make, more, turtle, new, agent",True,False,False,False,False,"hatch, sprout, ask, turtles-own","Sunflower, Wolf Sheep Predation, Virus, Plant Growth",,,,,,,,,,,,,,,,
create-turtles,Creates turtles with random colors and headings at the center of the world.,"make, more, turtle, new, agent",True,False,False,False,False,"hatch, sprout, ask, turtles-own","Sunflower, Wolf Sheep Predation, Virus, Plant Growth",,,,,,,,,,,,,,,,
die,Removes a turtle or link from the world.,"remove, end, kill, erase, death, disappear, eliminate, discard",False,True,False,True,False,"turtles, links, patches, create-turtles","Wolf Sheep Predation, Virus, Tumor, Bug Hunt Camouflage",,,,,,,,,,,,,,,,
diffuse,Spreads a patch characteristic to its neighbors.,"spread, share, disperse, radiate, propagate, broadcast",False,False,True,False,False,"patches-own, patches, globals, neighbors","Ants, Slime, Heatbugs, Honeycomb",,,,,,,,,,,,,,,,
distance,Reports the distance from one turtle/patch agent to another.,"length, far, measure, range, gap, separation, space",False,True,True,False,False,"facexy, min-pxcor, patch-ahead, setxy","Flocking Vee Formations, Fur, BeeSmart Hive Finding, Autumn",,,,,,,,,,,,,,,,
end,Concludes a procedure.,"finish, complete, close, finalize, wrap, terminate, define",True,False,False,False,False,"to, to-report, ask, semicolon","Rock Paper Scissors, El Farol, Paths, Traffic Grid",,,,,,,,,,,,,,,,
face,Changes a turtle's heading towards another turtle or patch.,"turn, spin, look, confront, watch, glare, stare, direction, angle",False,True,False,False,False,"towards, facexy, forward, right","Disease Solo, Heatbugs, Voronoi - Emergent, Vants",,,,,,,,,,,,,,,,
facexy,"Changes a turtle's heading towards a specific point (x, y) in the world.","turn, spin, look, confront, watch, glare, stare, direction, angle",False,True,False,False,False,"face, setxy, max-pxcor, towards","Ant Lines, Scatter, Bidding Market, Thermostat",,,,,,,,,,,,,,,,
floor,Rounds a number down to the nearest integer.,"round, up, integer, decimal, floating, math, calculate",False,False,False,False,True,"ceiling, round, mod, count","Daisyworld, Simple Birth Rates, Traffic Grid, CRISPR Bacterium",,,,,,,,,,,,,,,,
forward,Makes a turtle move in any number of units on a straight path.,"move, motion, straight, go, around, position, location, step, walk, jog",False,True,False,False,False,"right, random, turtles, move-to","Bidding Market, Vector Fields, CRISPR Ecosystem, Wolf Sheep Predation",,,,,,,,,,,,,,,,
fd,Makes a turtle move in any number of units on a straight path.,"move, motion, straight, go, around, position, location, step, walk, jog",False,True,False,False,False,"right, random, turtles, move-to","Bidding Market, Vector Fields, CRISPR Ecosystem, Wolf Sheep Predation",,,,,,,,,,,,,,,,
globals,Defines variables that can be accessed throughout the whole model and has the same value for all the agents.,"variable, scope, universal, constant",True,False,False,False,False,"turtles-own, patches-own, set, let","Shepherds, HIV, Giant Component, Fruit Wars",,,,,,,,,,,,,,,,
hatch,Makes a turtle make any number of new turtles that are identical to itself.,"birth, new, create, conceive, spawn, generate, make, parent",False,True,False,False,False,"sprout, create-turtles, die, ask","Chaos in a Box, Reactor Top Down, Voronoi, Galton Box",,,,,,,,,,,,,,,,
if,Carries out a provided set of rules (code) if a given condition is true. Does nothing if a given condition is false.,"condition, true, false, branch",False,False,False,False,True,"ifelse, ifelse-value, any, all","Reactor X-Section, Sand, DLA Alternate Linear, Fire",,,,,,,,,,,,,,,,
ifelse,"Carries out one set of rules if a given condition is true, and another set of rules if a given condition is false.","condition, true, false, branch, otherwise",False,False,False,False,True,"if, ifelse-value, or, and","Crystallization Basic, Rebellion, Hotelling's Law, Traffic Grid",,,,,,,,,,,,,,,,
ifelse-value,Picks a value based on a provided list of condition-value pairs.,"switch, case, condition, otherwise",False,False,False,False,True,"if, ifelse, or, globals","Echo, Virus, Sunflower Emergent, DLA Alternate",,,,,,,,,,,,,,,,
in-cone,"Reports members of an agentset within a ""cone-of-vision"" of an agent.","see, vision, detect, near",False,True,False,False,False,"in-radius, other, neighbors, with","Flocking Vee Formations, BeeSmart Hive Finding, Bug Hunt Speeds, Flocking",,,,,,,,,,,,,,,,
in-radius,Reports members of an agentset within a certain radius of an agent.,"around, near, circle, detect, see, vision",False,True,True,False,False,"in-cone, other, neighbors, with","GasLab Circular Particles, Paths, Fruit Wars, Fairy Circles",,,,,,,,,,,,,,,,
layout-circle,Places turtles in a circle circle around the center of the world.,"formation, arrangement, ring, link",True,False,False,False,False,"links, create-links-with, setxy, move-to","Planarity, Giant Component, Small Worlds, Spread of Disease",,,,,,,,,,,,,,,,
left,Turns a turtle certain amount of degrees to the left.,"turn, angle, direction, orientation, twist, rotate",False,True,False,False,False,"right, set, face, forward","Mammoths, Tumor, Flocking, Slime",,,,,,,,,,,,,,,,
let,Creates a local variable that only exists within a procedure or a statement surrounded with brackets (`[  ]`).,"variable, local, declare, value, constant, temporary",False,False,False,False,True,"turtles-own, patches-own, globals, set","Disease Solo, Sand, Lennard-Jones, Boiling",,,,,,,,,,,,,,,,
link-neighbors,Reports all agents connected to a turtle with links.,"connect, network, web, complex, relation, social",False,True,False,False,False,"create-links-with, links, any, count","Membrane Formation, Giant Component, Small Worlds, Language Change",,,,,,,,,,,,,,,,
links,Reports an agentset that contains all the links in a model.,"connect, network, web, complex, relation, social",False,False,False,True,False,"link-neighbors, turtles, patches, create-links-with","Virus on a Network, Preferential Attachment, Team Assembly, Small Worlds",,,,,,,,,,,,,,,,
max,Reports the highest value in a provided list.,"big, high, largest, most, top",False,False,False,False,True,"count, mean, mod, of","Mimicry, Ant Lines, Grand Canyon, Fruit Wars",,,,,,,,,,,,,,,,
max-n-of,Reports a list of top values in a provided list.,"big, high, largest, most, top",False,False,False,False,True,"one-of, max, of, count","Simple Economy, Simple Viral Marketing",,,,,,,,,,,,,,,,
max-pxcor,Reports the largest x-coordinate of the patches in a model.,"patch, coordinate, x, axis, world, view, west",False,False,False,False,True,"min-pxcor, min-pycor, move-to, setxy","Urban Suite - Economic Disparity, DLA, Traffic Grid Goal, Blood Sugar Regulation",,,,,,,,,,,,,,,,
max-pycor,Reports the largest y-coordinate of the patches in a model.,"patch, coordinate, y, axis, world, view, north",False,False,False,False,True,"min-pxcor, min-pycor, move-to, setxy","Fruit Wars, Ants, Sunflower Biomorphs, Galton Box",,,,,,,,,,,,,,,,
mean,Reports the average of a provided list of numerical values.,"average, list, array, median, medium, middle",False,False,False,False,True,"count, max, round, ceiling","Mimicry, Flocking, Scatter, CRISPR Ecosystem",,,,,,,,,,,,,,,,
member?,Reports true if a value is within a list or if an agent is in an agentset.,"in, list, part, element",False,False,False,False,True,"count, if, n-of, with","Fairy Circles, Small Worlds, Party, Traffic Grid Goal",,,,,,,,,,,,,,,,
min-pxcor,Reports the smallest x-coordinate of the patches in a model.,"patch, coordinate, x, axis, world, view, east",False,False,False,False,True,"max-pxcor, max-pycor, move-to, setxy","Fire, Tumor, Blood Sugar Regulation, Ant Lines",,,,,,,,,,,,,,,,
min-pycor,Reports the smallest y-coordinate of the patches in a model.,"patch, coordinate, x, axis, world, view, south",False,False,False,False,True,"max-pxcor, max-pycor, move-to, setxy","Autumn, Fireworks, Galton Box, Rugby",,,,,,,,,,,,,,,,
mod,Performs the modulo operation; reports the remainder from the division of the first number by the second number.,"remainder, divide, math, calculate, arithmetic",False,False,False,False,True,"mean, count, if, any","Sunflower, Flocking Vee Formations, Voronoi, Fruit Wars",,,,,,,,,,,,,,,,
move-to,Moves a turtle to set its x and y coordinates to be the same as another turtle or patch.,"jump, travel, relocate, shift, transport, hop",False,True,False,False,False,"setxy, set, max-pxcor, patches","Heatbugs, Shepherds, Membrane Formation, Grand Canyon",,,,,,,,,,,,,,,,
myself,Reports the original turtle that asked another turtle to follow some rules.,"interaction, caller, original, nested, refer, talk",False,True,True,True,False,"nobody, ask, of, let","Sunflower Biomorphs, Mammoths, Autumn, Fairy Circles",,,,,,,,,,,,,,,,
n-of,"Reports ""n"" randomly picked agents from an agentset or items from a list.","subset, random, batch, portion, fragment",False,False,False,False,True,"one-of, count, any, all","Virus, Heatbugs, Voronoi, Virus on a Network",,,,,,,,,,,,,,,,
neighbors,Reports an agentset containing the eight neighboring patches.,"surrounding, nearby, around, directions, next, border, adjoin, touch",False,True,True,False,False,"neighbors4, patch-ahead, turtles-here, patches","Fur, DLA, Segregation, Daisyworld",,,,,,,,,,,,,,,,
neighbors4,"Reports an agentset containing the four neighboring patches in cardinal directions (north, west, south, east).","surrounding, nearby, around, directions, next, border, adjoin, touch",False,True,True,False,False,"neighbors, patch-ahead, turtles-here, patches","Fire, Life, Sandpile, Altruism",,,,,,,,,,,,,,,,
nobody,A special value that helps checking if an agent exists or not.,"none, empty, dead, exist, nothing",False,False,False,False,True,"any, member, n-of, let","Tumor, Heatbugs, Shepherds, HIV",,,,,,,,,,,,,,,,
of,Reports the value of an agent-owned variable.,"variable, characteristic, property, feature",False,False,False,False,True,"with, to-report, turtles-own, patches-own","Urban Suite - Recycling, Paths, Slime, Language Change",,,,,,,,,,,,,,,,
one-of,Reports one randomly picked member from a provided agentset or list.,"pick, select, draw, lottery ",False,False,False,False,True,"n-of, random, max-n-of, let","Mammoths, Ants, Shepherds, Fairy Circles",,,,,,,,,,,,,,,,
or,Checks if either of two provided conditions is true.,"either, boolean, true, false, condition, compare",False,False,False,False,True,"if, ifelse, and, of","Lennard-Jones, GasLab Atmosphere, Bidding Market, Wealth Distribution",,,,,,,,,,,,,,,,
other,Reports an agentset which is the same as the input agentset but omits the agent that used this primitive.,"omit, exclude",False,True,False,False,False,"any, turtles-here, in-radius, patches","Virus, Flocking, Scatter, Fruit Wars",,,,,,,,,,,,,,,,
patch,"Reports a specific patch at the provided (x,y) conditions.","square, background, world",True,False,False,False,False,"patches, clear-patches, patches-own, neighbors","Ant Lines, Autumn, SmoothLife, Rumor Mill",,,,,,,,,,,,,,,,
patch-ahead,Reports the single patch that is the given distance “ahead” of this turtle,"before, see, detect, lead, onward",False,True,False,False,False,"neighbors, in-radius, in-cone, nobody","Mammoths, Slime, Climate Change, Traffic Intersection",,,,,,,,,,,,,,,,
patches,Reports an agentset that contains all the patches in a model.,"square, background, world",True,False,False,False,False," clear-patches, patches-own, neighbors, move-to","Peppered Moths, Blood Sugar Regulation, Honeycomb, Rock Paper Scissors",,,,,,,,,,,,,,,,
patches-own,Defines custom characteristics (variables) for patches. Each custom characteristic can have a different value for each patch.,"patches, variable, declare",True,False,False,False,False,"turtles-own, set, of, with","Diffusion Graphics, Grand Canyon, Life, Paths",,,,,,,,,,,,,,,,
pcolor,Reports a patch's color and changes a patch's color when used with the set primitive.,"patch, square, world, background, paint",False,True,True,False,False,"color, set, patches, neighbors","Vision Evolution, Rock Paper Scissors, Wolf Sheep Predation, Bacterial Infection",,,,,,,,,,,,,,,,
pen-down,Starts tracing the movement of the turtle on patches.,"trace, draw, mark, paint, engrave, sketch",False,True,False,False,False,"pen-up, clear-all, forward, right","Turtles Circling, Bidding Market, GasLab Single Collision, Pendulum",,,,,,,,,,,,,,,,
pen-up,Stops tracing a turtle's movement.,"trace, draw, mark, paint, engrave, sketch",False,True,False,False,False,"pen-down, clear-all, forward, right","Turtles Circling, Bidding Market, GasLab Single Collision, Pendulum",,,,,,,,,,,,,,,,
random,Reports a random whole number between 0 and a specified number.,"probability, chance, lottery, luck, toss, pick",False,False,False,False,True,"random-float, random-normal, globals, turtles-own","Sunflower Biomorphs, Mammoths, Autumn, Fairy Circles",,,,,,,,,,,,,,,,
random-float,Reports a random number with decimal points between 0 and a specified number.,"decimal, floating, probability, chance, lottery, luck, toss, pick",False,False,False,False,True,"random, random-normal, globals, turtles-own","Fire, Climate Change, Galton Box, Daisyworld",,,,,,,,,,,,,,,,
random-normal,Reports a random number with decimal points that is picked from over a normal distribution with a specified mean and standard deviation.,"distribution, bell, curve, chance, probability, lottery, luck, toss, pick",False,False,False,False,True,"random, random-float, mean, set","Anisogamy, Autumn, Echo, Sex Ratio Equilibrium",,,,,,,,,,,,,,,,
repeat,Performs a provided set of rules (commands) repeatedly for a specified number of times.,"repetition, again, multiple, loop, for, execute",False,False,False,False,True,"ask, to, end, while","Disease Solo, Flocking Vee Formations, Peppered Moths, Ant Lines",,,,,,,,,,,,,,,,
reset-ticks,Sets the tick counter to 0.,"counter, time, restart, clock, watch",True,False,False,False,False,"tick, to, ask, clear-all","Wolf Sheep Predation, Fire, Autumn, Climate Change",,,,,,,,,,,,,,,,
right,Changes a turtle's heading a certain amount of degrees to the right.,"turn, spin, rotate, angle, direction, orientation",False,True,False,False,False,"left, forward, towards, face","Bacteria Hunt Speeds, Mammoths, Anisogamy, DLA Simple",,,,,,,,,,,,,,,,
round,Reports the integer that is nearest to a specified value.,"decimal, floating, near, approximate, roughly",False,False,False,False,True,"count, floor, ceiling, mean","Sex Ratio Equilibrium, Bug Hunt Camouflage, Bacterial Infection, Blood Sugar Regulation",,,,,,,,,,,,,,,,
scale-color,Reports a shade of a base hue (color) based on where a speficied value falls is within a specified range (min-max).,"shade, legend, tint, paint, tone, saturation, gradient",False,False,False,False,True,"color, pcolor, set, turtles-own","Moths, Ants, Honeycomb, Autumn",,,,,,,,,,,,,,,,
semicolon,Starts a comments to take notes on a line of code. anything that follows a semicolon (;) will not be considered code.,"comment, note",False,False,False,False,True,"to, to-report, end, ask","Moths, Ants, Honeycomb, Autumn",,,,,,,,,,,,,,,,
set,"Changes the value of a variable (global, local, or agent-owned).","variable, value, change, modify, alter",False,False,False,False,True,"let, globals, turtles-own, patches-own","Wolf Sheep Predation, Fire, Autumn, Climate Change",,,,,,,,,,,,,,,,
setxy,Moves a turtle to the exact location defined by the provided x and y coordinates.,"position, coordinate, location, move, jump, transport",False,True,False,False,False,"move-to, min-pxcor, max-pycor, neighbors","Vision Evolution, Tumor, Virus, Flocking",,,,,,,,,,,,,,,,
shape,Reports a turtles or link's shape and changes a turtle's or link's shape when used with the set primitive.,"look, design, style, outline, image, bitmap, vector, picture, icon, appearance, figure, photo",False,True,False,True,False,"color, turtles, set, of","Urban Suite - Pollution, Traffic Intersection, Mimicry, Ant Lines",,,,,,,,,,,,,,,,
sort-by,Reports a sorted version of a provided list based on a user-defined comparison.,"list, array, order, arrange, sift, cull, assort",False,False,False,False,True,"sort-on, count, mean, ask","4 Block Stalagmites, GasLab Circular Particles, CRISPR Bacterium, Ask Ordering Example",,,,,,,,,,,,,,,,
sort-on,Reports a sorted version of a provided agentset based on a user-defined comparison.,"list, array, order, arrange, sift, cull, assort",False,False,False,False,True,"sort-by, count, mean, ask","Birthdays, Dice, DNA Protein Synthesis, Rnd Example",,,,,,,,,,,,,,,,
sprout,Creates new turtles at the center of a patch.,"create, birth, new, turtle, grow, germinate, spring, vegetate, root",False,False,True,False,False,"hatch, create-turtles, die, ask","Daisyworld, Ant Lines, Heatbugs, Fairy Circles",,,,,,,,,,,,,,,,
tick,Advances the tick counter by 1.,"time, counter, clock, watch",True,False,False,False,False,"reset-ticks, ask, to, clear-all","Flocking, BeeSmart Hive Finding, Slime, Shepherds",,,,,,,,,,,,,,,,
tie,Turns a link between two turtles into a rigid connection so that the movement of one turtle impacts the movement of the other.,"link, connection, attachment, lock, hook, anchor",False,False,False,True,False,"links, create-links-with, link-neighbors, layout-circle","Vision Evolution, DNA Replication Fork, Bug Hunt Environmental Changes, Connected Chemistry 8 Gas Particle Sandbox",,,,,,,,,,,,,,,,
to,Begins a command procedure,"to, begin, command",True,False,False,False,True,"to-report, end, ask, create-turtles","Wolf Sheep Predation, Fire, Ants, Segregation",,,,,,,,,,,,,,,,
to-report,Begin a procedure to create a custom reporter.,"procedure, function, return, calculate, transform, input, output",False,False,False,False,True,"to, end, ask, if","Mimicry, Moths, Rock Paper Scissors, HIV",,,,,,,,,,,,,,,,
towards,Reports the angle of the caller towards an agent.,"turn, angle, face, direction, twist, spin",False,True,False,False,False,"face, right, left, heading","Chaos in a Box, Bug Hunt Coevolution, GenEvo 1 Genetic Switch, Traffic 2 Lanes",,,,,,,,,,,,,,,,
turtle,Reports a specific turtle that has the provided unique number.,"shape, triangle, mobile, agent, tortoise, animal, person, people, object, thing",True,False,False,False,False,"ask, turtles-own, patches, links","Wolf Sheep Predation, Virus, Tumor, Bug Hunt Camouflage",,,,,,,,,,,,,,,,
turtles,Reports an agentset that contains all the turtles in a model.,"shape, triangle, mobile, agent, tortoise, animal, person, people, object, thing",True,False,False,False,False,"ask, turtles-own, patches, links","Disease Solo, Flocking Vee Formations, Peppered Moths, Ant Lines",,,,,,,,,,,,,,,,
turtles-here,Reports the agentset of all the turtles on a caller's patch.,"touch, contact, near, communicate, rub, tangent, tap, collide, notice, recognize, sense",False,True,True,False,False,"neighbors, patches, other, in-radius","El Farol, Party, Segregation, Chemical Equilibrium",,,,,,,,,,,,,,,,
turtles-own,Declare a variable that belongs to turtles.,"variable, declare, characteristic, property, attribute, trait, quality, phenotype",True,False,False,False,False,"set, globals, patches-own, with","Disease Solo, Flocking Vee Formations, Tumor, Wolf Sheep Predation",,,,,,,,,,,,,,,,
while,Begins a loop that runs as long as the reporter returns true. ,loop,True,False,False,False,False,"if, ifelse, repeat, tick","Moths, Traffic Basic, Shepherds, Sunflower Biomorphs",,,,,,,,,,,,,,,,
with,Reports a subset of the original agentset that only contains the agents with specified characteristics.,"specific, agentset, query, narrow, subset, reduce, fragment, select",True,True,True,True,False,"if, of, turtles-own, patches-own","Fur, Mimicry, Ants, Heatbugs",,,,,,,,,,,,,,,,
